Name	Size	NES	NOM p-value	FDR q-value	Gene Details
BIOCARTA_LONGEVITY_PATHWAY	13.0	1.9101213	0.0	0.18151733	SOD3,GHR,PIK3R1,PIK3CG,CAT,IGF1
BIOCARTA_CCR5_PATHWAY	16.0	1.9091538	0.0034722222	0.09230176	CCL4,CCL2,CXCR4,PRKCA,CCR5,FOS,CXCL12,JUN
BIOCARTA_TOB1_PATHWAY	18.0	1.9054734	0.0033898305	0.0672745	TGFBR3,CD247,IL2RA,IL2,TGFBR2,IFNG,TGFB3,TOB2,CD3G
BIOCARTA_INSULIN_PATHWAY	21.0	1.8779281	0.0	0.06863969	SLC2A4,IRS1,PIK3R1,PIK3CG,FOS,JUN,ELK1,PTPN11,MAPK3,INSR,PIK3CA
BIOCARTA_IL2RB_PATHWAY	37.0	1.8604581	0.0049751243	0.06915337	IL2RG,IL2RA,IRS1,IKZF3,PIK3R1,IL2RB,PIK3CG,JAK3,FOS,E2F1,MYC,SOCS1,CFLAR,SOCS3,MAPK3,STAT5B,BCL2,RPS6KB1,PIK3CA,FAS,RAF1,PPIA,STAT5A
BIOCARTA_DC_PATHWAY	18.0	1.8216931	0.007067138	0.10052692	IL10,IL12A,CSF2,TLR4,TLR7,CD2,CD40,IFNG,ITGAX,IL12B,TLR2,CD33,TLR9
BIOCARTA_IL2_PATHWAY	22.0	1.8188871	0.0	0.089324005	IL2RG,IL2RA,IL2RB,IL2,JAK3,FOS,JUN,ELK1,MAPK3,STAT5B
BIOCARTA_GRANULOCYTES_PATHWAY	12.0	1.8072172	0.006134969	0.08769441	PECAM1,ITGB2,SELL,SELPLG,TNF,ITGAM,IFNG,ITGAL,IL1A,SELP
BIOCARTA_TFF_PATHWAY	20.0	1.806114	0.0	0.07856911	GHR,PIK3R1,PIK3CG,RHOA,APAF1,MAPK3,PIK3CA,ITGB1,EGFR,PTK2
BIOCARTA_NO1_PATHWAY	28.0	1.8010176	0.0	0.07598955	ACTA1,PRKAR2B,CAV1,NOS3,PDE2A,KDR,PDE3B,FLT1,PDE3A
BIOCARTA_CCR3_PATHWAY	22.0	1.7971314	0.0037313432	0.071534246	CCL11,MYL2,GNGT1,PRKCA,ROCK2,CCR3,PLCB1,NOX1,RHOA,MAPK3
BIOCARTA_TPO_PATHWAY	23.0	1.7952021	0.0036764706	0.06627668	MPL,PRKCA,PIK3R1,PIK3CG,FOS,JUN,STAT1,MAPK3,STAT5B,PIK3CA,RAF1,STAT5A,STAT3,CSNK2A1
BIOCARTA_MET_PATHWAY	37.0	1.7838647	0.0	0.06995873	ACTA1,PIK3R1,PIK3CG,FOS,HGF,RAPGEF1,ITGA1,RAP1A,JUN,ELK1,MET,PTPN11,MAPK3,PTEN,MAP4K1,PIK3CA,ITGB1,RAP1B,PTK2,RAF1,STAT3
BIOCARTA_INFLAM_PATHWAY	22.0	1.7805183	0.0072202166	0.0679844	IL10,IL12A,CSF2,IL6,TNF,IL2,IFNG,TGFB3,IL12B,IL15,IL1A,CSF1
BIOCARTA_IL7_PATHWAY	17.0	1.7731328	0.0033003301	0.06877354	IL2RG,PIK3R1,PIK3CG,JAK3,IL7R,STAT5B,FYN,BCL2,PIK3CA,IL7
BIOCARTA_IL6_PATHWAY	21.0	1.7728254	0.006688963	0.06468237	IL6,JAK3,FOS,IL6ST,JUN,ELK1,PTPN11,MAPK3
BIOCARTA_CTLA4_PATHWAY	16.0	1.769431	0.010135135	0.06320558	CD80,CD247,CD86,ICOS,PIK3R1,IL2,ITK,CD3G,PTPN11,PIK3CA,CD3E
BIOCARTA_MONOCYTE_PATHWAY	11.0	1.768281	0.0029325513	0.060679585	PECAM1,ITGB2,ITGA4,SELL,ITGAM,CD44,ITGAL,SELP
BIOCARTA_ECM_PATHWAY	23.0	1.7495348	0.0037593986	0.068330914	GSN,MYL2,PIK3R1,PIK3CG,ITGA1,RHOA,MAPK3,FYN,TLN1,PIK3CA,ITGB1,PTK2,ROCK1,RAF1
BIOCARTA_NKT_PATHWAY	27.0	1.7362794	0.003921569	0.07404411	CCL3,IL12A,CSF2,CCL4,CCR2,CXCR4,CCR5,CXCR3,CCR1,IL2,IFNG,CCR3,TGFB3,IFNGR1,IL12B
