Name	Size	NES	NOM p-value	FDR q-value	Gene Details
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	197.0	2.1585078	0.0	0.0040798527	CCL3,IL10,CCR10,OSM,TNFSF11,IL12A,CCL11,MPL,LEP,EPOR,GDF5,IL1R2,CSF2,CSF2RB,CCL24,CXCL9,IL18RAP,GHR,CXCL13,TNFSF14,PF4,IL23R,CCL4,PDGFRB,KDR,VEGFB,CCR2,IL2RG,CCL2,TSLP,XCR1,FLT1,CCL7,FIGF,IL2RA,CXCR4,TNFSF13B,TNFRSF14,CCR5,IL6,CXCR3,IL10RA,IL2RB,PDGFB,ACVRL1,IL15RA,CCR1,TNF,TNFRSF17,IL2,XCL1,TGFBR2,CD40,TNFSF12,IFNG,TNFSF9,TNFSF10,CCR3,BMP2,CCL5,EDA,TGFB3,VEGFC,TNFRSF13B,PPBP,CSF1R,IFNGR1,IL6ST,HGF,CSF3R,TNFRSF25,TNFSF13,CXCL2,IL12B,IL15,TNFRSF11B,CXCL12,IL25,IL1A,LTB,CCL8,TNFRSF11A,CSF1,TNFRSF10B,EDA2R,IL21R,IL9R,CXCL16,TNFRSF1A
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	85.0	2.1246476	0.0	0.0020399264	CCL3,IL12A,CXCL9,TLR4,CCL4,CD80,CD14,CD86,TLR7,AKT2,IRF5,IL6,PIK3CB,PIK3R1,CTSK,TLR8,TNF,PIK3CG,CD40,CCL5,FOS,PIK3R5,TLR1,IL12B,TLR2,JUN,TICAM2,TLR9,NFKBIA,MAP3K8,STAT1,MAPK3
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	31.0	2.0204895	0.0	0.0035692777	IL10,CCR10,AICDA,CD80,CD86,ICOS,ITGA4,CXCR4,TNFSF13B,IL6,MADCAM1,IL15RA,TNFRSF17,IL2,CD40,TNFRSF13B,TNFSF13,IL15,CXCL12,ITGB7
KEGG_CHEMOKINE_SIGNALING_PATHWAY	163.0	1.8957789	0.0	0.021663232	CCL3,CCR10,CCL11,GNB3,GNG13,CCL24,CXCL9,CXCL13,GNG3,GNG11,PF4,CCL4,GNGT2,GNB4,ADCY4,ADCY5,CCR2,CCL2,XCR1,RASGRP2,GNGT1,CCL7,ARRB1,CXCR4,AKT2,DOCK2,GNAI1,CCR5,CXCR3,PIK3CB,PIK3R1,ROCK2,CCR1,ADCY3,GNG2,XCL1,PIK3CG,JAK3,RAC2,CCR3,CCL5,PLCB1,PIK3R5,PPBP,NCF1,CXCL2,CXCL12,LYN,FGR,CCL8,CXCL16,RAP1A,GNB5,ITK,RHOA,PLCB4,VAV1,NFKBIA,CCL19,STAT1,MAPK3
KEGG_FOCAL_ADHESION	187.0	1.8733902	0.0	0.02161068	THBS1,CAV1,COL5A3,THBS2,LAMA4,COL4A1,COL5A2,COL4A2,ITGA7,CAV2,COL3A1,PDGFRB,KDR,MYL2,TNC,VEGFB,COL6A3,COL5A1,MYLPF,COL6A2,LAMC1,CCND2,FLT1,TNXB,ITGA4,FIGF,AKT2,PARVB,LAMB1,ACTN3,PRKCA,PRKCG,IBSP,COL6A1,PIK3CB,PIK3R1,ROCK2,PDGFB,COL1A2,PIK3CG,RAC2,ITGA6,CAPN2,VEGFC,IGF1,PIK3R5,HGF,ITGA5,RAPGEF1,LAMA2,VWF,ITGA1,ITGB7,COL1A1,ITGA11,ITGB3,MYLK2,RAP1A,JUN,PDGFC,ITGB5,RHOA,ELK1,MET,FLT4,VAV1,MAPK3,LAMB2,FLNC,PTEN,VASP,FYN
KEGG_LEISHMANIA_INFECTION	46.0	1.868044	0.0	0.018773468	IL10,IL12A,TLR4,ITGB2,ITGA4,TNF,ITGAM,IFNG,FOS,TGFB3,IFNGR1,NCF1,NCF4,CYBA,IL12B,TLR2,IL1A,JUN,ELK1,NFKBIA,STAT1,MAPK3
KEGG_GRAFT_VERSUS_HOST_DISEASE	15.0	1.8024043	0.006472492	0.031586178	KLRC1,PRF1,CD80,CD86,IL6,KLRD1,TNF,IL2,IFNG,IL1A
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	89.0	1.7647396	0.0	0.04248891	KLRC1,PRF1,CSF2,CD244,ICAM2,CD247,NCR1,ITGB2,KLRK1,FCER1G,PRKCA,PRKCG,PIK3CB,PIK3R1,KLRD1,CD48,NFATC2,TNF,PIK3CG,RAC2,IFNG,TNFSF10,LCP2,PIK3R5,TYROBP,IFNGR1,NFATC1,ITGAL,NFATC4,TNFRSF10B
KEGG_HEMATOPOIETIC_CELL_LINEAGE	64.0	1.7532536	0.0	0.042220447	CD36,EPOR,IL1R2,CSF2,CD14,ITGA4,IL2RA,CD38,IL6,CD37,TNF,CD2,ITGAM,ITGA6,CD55,MS4A1,CD44,CSF1R,CSF3R,ITGA5,CD22,IL1A,ITGA1,GYPA,CSF1,ITGB3,IL9R,CD34,CD33,CD3G,IL7R,FLT3,IL3RA
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	106.0	1.7337527	0.0	0.04532475	CLDN15,CLDN5,CLDN22,CDH5,PECAM1,MSN,MMP2,ESAM,MYL2,MYLPF,ITGB2,SIPA1,ITGA4,CXCR4,GNAI1,ACTN3,RHOH,MMP9,PRKCA,PRKCG,JAM2,PIK3CB,PIK3R1,ROCK2,PIK3CG,ITGAM,RAC2,CLDN18,PIK3R5,THY1,NCF1,NCF4,CYBB,RAPGEF3,CYBA,ITGAL,CXCL12
