Name	Size	NES	NOM p-value	FDR q-value	Gene Details
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	79.0	2.0667427	0.0	0.022027375	SLC16A8,SLC7A10,CAV1,PECAM1,THBD,PF4,ANGPT1,ESAM,TEK,DOK2,SPN,ITGB2,OLR1,FCER1G,SELL,JAM2,PIK3CB,PIK3R1,SIRPA,CD48,COL1A2,CD2,ITGAM,ITGAX,ITGA5,ITGAL,LYN,COL1A1,ITGB3,SELP,PROS1,ANGPT2,L1CAM,SLC7A6,GRB14,FYN
REACTOME_G_PROTEIN_BETA_GAMMA_SIGNALLING	27.0	2.0418928	0.0	0.015466522	GNB3,GNG13,GNG3,GNG11,GNGT2,GNB4,GNGT1,AKT2,GNG2,PIK3CG,PLCB1,PIK3R5
REACTOME_PRE_NOTCH_PROCESSING_IN_GOLGI	16.0	2.0382533	0.0	0.010311014	ATP2A1,MFNG,LFNG,NOTCH4,ATP2A3,ST3GAL6
REACTOME_G_BETA_GAMMA_SIGNALLING_THROUGH_PI3KGAMMA	24.0	1.9921418	0.0	0.018588828	GNB3,GNG13,GNG3,GNG11,GNGT2,GNB4,GNGT1,AKT2,GNG2,PIK3CG,PIK3R5
REACTOME_THROMBIN_SIGNALLING_THROUGH_PROTEINASE_ACTIVATED_RECEPTORS_PARS	31.0	1.9851053	0.0	0.014871062	F2RL2,GNB3,GNG13,GNG3,GNG11,GNGT2,GNB4,GNGT1,ARRB1,GNG2,F2RL3
REACTOME_ADP_SIGNALLING_THROUGH_P2RY12	21.0	1.9786621	0.0	0.014607439	GNB3,GNG13,GNG3,GNG11,GNGT2,GNB4,GNGT1,GNAI1,GNG2
REACTOME_PROSTACYCLIN_SIGNALLING_THROUGH_PROSTACYCLIN_RECEPTOR	19.0	1.966155	0.0	0.015810022	PTGIR,GNB3,GNG13,GNG3,GNG11,GNGT2,GNB4,GNGT1,GNG2
REACTOME_INHIBITION_OF_INSULIN_SECRETION_BY_ADRENALINE_NORADRENALINE	25.0	1.9647417	0.0	0.014403116	GNB3,GNG13,GNG3,GNG11,GNGT2,GNB4,ADCY5,GNGT1,GNAI1,GNG2
REACTOME_PRE_NOTCH_EXPRESSION_AND_PROCESSING	32.0	1.9638032	0.0	0.0130564235	ATP2A1,MFNG,LFNG,NOTCH4,ATP2A3,ST3GAL6,MAML2,E2F1,JUN
REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM	16.0	1.9545921	0.0	0.013468693	BCAT2,HIBCH,MCCC1,BCKDHB,DBT,IVD,MCCC2,ACADSB,AUH,BCKDHA,DLD,HIBADH
