"","Row.names","IonXpress_RNA_045","IonXpress_RNA_046","IonXpress_RNA_059","IonXpress_RNA_060","IonXpress_RNA_061","IonXpress_RNA_062","IonXpress_RNA_063","IonXpress_RNA_064","IonXpress_RNA_47","IonXpress_RNA_48","IonXpress_RNA_49","IonXpress_RNA_50","IonXpress_RNA_51","IonXpress_RNA_52","IonXpress_RNA_53","IonXpress_RNA_54","IonXpress_RNA_55","IonXpress_RNA_56","IonXpress_RNA_57","IonXpress_RNA_58","average","X","gene_biotype","external_gene_name","ensembl_gene_id"
"1","ENSMUST00000000001",196,228,170,182,216,215,278,315,132,134,248,252,235,192,180,130,247,184,153,182,203.45,18802,"protein_coding","Gnai3","ENSMUSG00000000001"
"47117","ENSMUST00000174042",10.0363,10.0458,6.04412,10.0306,6.00772,2.00669,9.00791,0,13.2215,15.2006,4.00805,2.00888,4.00711,2.01467,6.07692,5.0529,7.01627,6.02949,5.0664,5.04952,6.3965725,51403,"protein_coding","Hoxb9","ENSMUSG00000020875"
"4","ENSMUST00000000028",60,15,10,25,44,38,26.6858,27.0266,20.9034,15,30,60,5.67495,30,30,28,40,0,41.7369,25,28.6013825,40400,"protein_coding","Cdc45","ENSMUSG00000000028"
"5","ENSMUST00000000033",127.51,129.089,115.707,108.359,74.8274,102.398,180.658,182.936,92.4821,132.559,68.2544,146.708,101.404,93.4478,130.007,109.732,73.7188,135.942,60.851,110.376,113.848325,108425,"protein_coding","Igf2","ENSMUSG00000048583"
"6","ENSMUST00000000049",3,1.24787,6,16,13.4248,2.23747,3,12.6506,10,11,6.31887,128,6,6,6.71242,4,3.30117,6,18,17,13.99466,69335,"protein_coding","Apoh","ENSMUSG00000000049"
"7","ENSMUST00000000058",169,308,212.468,168.889,279.251,223,308.658,286,178,134.865,258,335.425,230.802,199.147,244.01,301.528,217,255.866,166.014,217,234.64615,53918,"protein_coding","Cav2","ENSMUSG00000000058"
"8","ENSMUST00000000080",319,424,292,186,271,566,253,587,255,209,505,297,572,517,515,201,514,215,344,404,372.3,19077,"protein_coding","Klf6","ENSMUSG00000000078"
"9","ENSMUST00000000087",392.303,453.341,364.031,522.089,512.988,404.251,425.134,365.384,488.973,615.561,353.375,521.517,351.1,331.399,382.463,442.71,503.777,539.194,429.511,450.03,442.45655,48598,"protein_coding","Scmh1","ENSMUSG00000000085"
"10","ENSMUST00000000090",2678,3133,4240,2419,4702,3963,4606,5326,3103,1948,3167,3512,3485,2456,3312,3846,4438,3782,2838,3505,3522.95,8692,"protein_coding","Cox5a","ENSMUSG00000000088"
"19832","ENSMUST00000099145",1317.54,960.519,976.051,1539.7,1224.02,890.964,1020.25,953.589,1516.56,1720.7,871.131,1456.4,783.26,1030.74,1070.09,948.52,1768.04,1381.7,1170.6,1200.14,1190.0257,105801,"protein_coding","Dlgap4","ENSMUSG00000061689"
"12","ENSMUST00000000095",60,67,47,67,58,55,57,39,80,99,57,62,41,55.6368,61,61,97.705,78,47,78,63.36709,97156,"protein_coding","Tbx2","ENSMUSG00000000093"
"23639","ENSMUST00000108045",59.4813,53.9437,42.6625,54.7008,42.6285,19.2504,31.6862,42.5502,44.4942,58.1061,43.407,64.8378,55.3089,64.4392,49.0716,61.5851,60.2535,68.5711,0.00143867,58.2379,48.7608719335,98969,"protein_coding","Tbx4","ENSMUSG00000000094"
"14","ENSMUST00000000109",0,3.25378,1.98703,0,6.45302,0,1.99363,0,5.9857,0,0,0,5.95122,0,2.99143,0,2.99542,0,3.24852,0,1.7429875,85350,"protein_coding","Cntn1","ENSMUSG00000055022"
"15","ENSMUST00000000122",51.0472,56.6451,20.2715,53.1289,8.05644,28.3002,17.0914,36.3714,14.235,16.4472,41.6472,31.4104,81.479,65.6465,46.6829,31.4686,79.5951,27.6169,55.6915,35.3082,39.907032,102437,"protein_coding","Ngfr","ENSMUSG00000000120"
"16","ENSMUST00000000127",3,1,1,7,2,1,0,0,1,6,0,0,0,1,0,0,0,3,0,0,1.3,50994,"protein_coding","Wnt3","ENSMUSG00000000125"
"24135","ENSMUST00000108783",227,218,235,331.587,358,253,393,307,321,326,253,410,188,135,261,308,327,378,236,316,289.07935,81613,"protein_coding","Wnt9a","ENSMUSG00000000126"
"18","ENSMUST00000000129",92.2699,85,95,112.964,132.338,157.075,153.031,165.461,102.885,84.0072,81.4431,100.808,84.4626,112.671,131,85.5936,133.214,125.745,99.6789,85.1883,110.99178,72683,"protein_coding","Fer","ENSMUSG00000000127"
"19","ENSMUST00000000137",554.109,598.347,536.801,467.508,563.687,692.742,614.051,705.63,443.223,415.245,603.384,720.333,654,528,573.805,463.885,734.215,600.637,453.294,586.12,575.4508,45212,"protein_coding","Actr2","ENSMUSG00000020152"
"20","ENSMUST00000000145",529.29,424.584,219.132,347.097,715.45,446.943,679.102,679.955,672.063,367.049,476.487,262.941,275.393,220.363,459.916,360.041,520.17,436.83,331.71,247.255,433.58855,49048,"protein_coding","Acsl6","ENSMUSG00000020333"
"21","ENSMUST00000000153",372.32,583.938,438.943,765.749,877,531.295,786.678,464,727.748,870.878,364.866,955,380.801,388.51,618.224,593,657,898.815,311,595,609.03825,89477,"protein_coding","Gna12","ENSMUSG00000000149"
"32967","ENSMUST00000131567",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.05,86290,"protein_coding","Itgb2l","ENSMUSG00000000157"
"27159","ENSMUST00000113794",0,0,0,0,0,0,0,0,0,0,0,4.79353,0,0,0,0,0,0,0,0,0.2396765,85887,"protein_coding","Igsf5","ENSMUSG00000000159"
"35921","ENSMUST00000141366",1.00412,0,3,0,3.35038,4.00888,1.69308,0,1.15141,4.00197,3.00151,0,0,1.32764,5.72505,6.0025,2.00747,1.00455,0,3.03411,2.0156335,71703,"protein_coding","Pih1d2","ENSMUSG00000000167"
"25","ENSMUST00000000175",2613,3485,2864,3192,4425,3298,4231,3478,2944,4297,2988,4849,3185,3053,3421,3034,3801,4406,2815,3565,3497.2,8272,"protein_coding","Sdhd","ENSMUSG00000000171"
