"","X.1","ensembl_transcript_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","X","gene_biotype","external_gene_name","ensembl_gene_id"
"1",1,"ENSMUST00000000001",2000.25485225984,0.27980485492821,0.27477433700046,1.01830781572495,0.308531695286154,0.946613146158702,18802,"protein_coding","Gnai3","ENSMUSG00000000001"
"2",2,"ENSMUST00000000003",0,NA,NA,NA,NA,NA,21322,"protein_coding","Pbsn","ENSMUSG00000000003"
"3",3,"ENSMUST00000000010",606.247628975941,0.788106599354033,1.18773063900647,0.663539840997348,0.506984871898732,0.994250077436919,51402,"protein_coding","Hoxb9","ENSMUSG00000020875"
"19166",19166,"ENSMUST00000096990",51.5485378716325,0.333662337130438,0.612055571616845,0.545150395819474,0.58565008443412,0.997392612825348,40401,"protein_coding","Cdc45","ENSMUSG00000000028"
"5",5,"ENSMUST00000000033",75.9583162484739,0.250023590021619,0.627796635615579,0.398255702304715,0.690441709941453,0.999762912609655,108425,"protein_coding","Igf2","ENSMUSG00000048583"
"6",6,"ENSMUST00000000049",583.819966145939,-2.71279838017281,1.22583270890844,-2.21302495883671,0.0268959249602903,0.508527397176368,69335,"protein_coding","Apoh","ENSMUSG00000000049"
"7",7,"ENSMUST00000000058",2361.42736443247,1.2675737058337,0.630992789850756,2.00885608555609,0.0445523982633964,0.58937412411536,53918,"protein_coding","Cav2","ENSMUSG00000000058"
"8",8,"ENSMUST00000000080",960.234902947341,0.14947916734363,0.424658304715408,0.351998690909403,0.724839244233148,0.999762912609655,19077,"protein_coding","Klf6","ENSMUSG00000000078"
"9",9,"ENSMUST00000000087",669.063375997898,-0.0166783800634293,0.337681997656085,-0.0493907883132565,0.960607869065158,0.999762912609655,48598,"protein_coding","Scmh1","ENSMUSG00000000085"
"10",10,"ENSMUST00000000090",1096.54210019718,-0.433744976441713,0.343581501332925,-1.26242237943253,0.206796840536421,0.887346598576804,8692,"protein_coding","Cox5a","ENSMUSG00000000088"
"24594",24594,"ENSMUST00000109566",861.777475939374,-0.64028248956309,0.361972379452153,-1.76887112362595,0.076915384108471,0.694453448718704,105795,"protein_coding","Dlgap4","ENSMUSG00000061689"
