Pool,Barcode,sample
pool 1,IonXpress_RNA_026,Sample 1
pool 1,IonXpress_RNA_027,Sample 2
pool 1,IonXpress_RNA_028,Sample 3
pool 2,IonXpress_RNA_029,Sample 4
pool 2,IonXpress_RNA_030,Sample 5
pool 2,IonXpress_RNA_031,Sample 6
pool 3,IonXpress_RNA_032,Sample 7
pool 3,IonXpress_RNA_033,Sample 8
pool 3,IonXpress_RNA_034,Sample 9
pool 4,IonXpress_RNA_035,Sample 10
pool 4,IonXpress_RNA_036,Sample 11
pool 4,IonXpress_RNA_037,Sample 12
pool 5,IonXpress_RNA_038,Sample 13
pool 5,IonXpress_RNA_039,Sample 14
pool 5,IonXpress_RNA_040,Sample 15
pool 6,IonXpress_RNA_041,Sample 16
pool 6,IonXpress_RNA_042,Sample 17
pool 6,IonXpress_RNA_043,Sample 18
pool 7,IonXpress_RNA_044,Sample 19
pool 7,IonXpress_RNA_045,Sample 20
pool 7,IonXpress_RNA_046,Sample 21
pool 8,IonXpress_RNA_047,Sample 22
pool 8,IonXpress_RNA_048,Sample 23
pool 8,IonXpress_RNA_049,Sample 24
pool 9,IonXpress_RNA_050,Sample 25
pool 9,IonXpress_RNA_051,Sample 26
pool 9,IonXpress_RNA_052,Sample 27
pool 10,IonXpress_RNA_053,Sample 28
pool 10,IonXpress_RNA_054,Sample 29
pool 10,IonXpress_RNA_055,Sample 30
pool 11,IonXpress_RNA_056,Sample 31
pool 11,IonXpress_RNA_057,Sample 32
pool 11,IonXpress_RNA_058,Sample 33
pool 12,IonXpress_RNA_059,Sample 34
pool 12,IonXpress_RNA_060,Sample 35
pool 12,IonXpress_RNA_061,Sample 36
pool 13,IonXpress_RNA_062,Sample 37
pool 13,IonXpress_RNA_063,Sample 38
pool 13,IonXpress_RNA_064,Sample 39
