Interval,Sample #,Date/Time,Light/Dark,Start Time,End Time,Duration (s),Weight (g),Accumulated (g),
1,1,10/17/2014 5:19:57 PM,Light,10/17/2014 5:19:37 PM,10/17/2014 5:19:46 PM,9,0.17,0.17,
1,2,10/17/2014 5:29:06 PM,Light,10/17/2014 5:28:52 PM,10/17/2014 5:28:55 PM,3,0.14,0.31,
1,3,10/17/2014 5:31:06 PM,Light,10/17/2014 5:30:45 PM,10/17/2014 5:30:55 PM,10,-0.03,0.28,
1,4,10/17/2014 5:34:21 PM,Light,10/17/2014 5:33:18 PM,10/17/2014 5:34:11 PM,53,0.04,0.32,
1,5,10/17/2014 5:38:25 PM,Light,10/17/2014 5:35:09 PM,10/17/2014 5:38:15 PM,186,0.04,0.37,
1,6,10/17/2014 5:44:36 PM,Light,10/17/2014 5:44:14 PM,10/17/2014 5:44:25 PM,11,-0.06,0.30,
2,7,10/17/2014 5:56:15 PM,Light,10/17/2014 5:55:59 PM,10/17/2014 5:56:04 PM,5,-0.13,0.17,
2,8,10/17/2014 6:12:21 PM,Light,10/17/2014 6:11:55 PM,10/17/2014 6:12:11 PM,16,-0.03,0.14,
2,9,10/17/2014 6:18:18 PM,Light,10/17/2014 6:16:39 PM,10/17/2014 6:18:07 PM,88,-0.04,0.10,
3,10,10/17/2014 6:28:28 PM,Light,10/17/2014 6:25:19 PM,10/17/2014 6:28:17 PM,178,0.23,0.33,
3,11,10/17/2014 6:31:51 PM,Light,10/17/2014 6:31:34 PM,10/17/2014 6:31:41 PM,7,0.08,0.40,
3,12,10/17/2014 6:33:09 PM,Light,10/17/2014 6:32:51 PM,10/17/2014 6:32:58 PM,7,-0.07,0.33,
3,13,10/17/2014 6:33:35 PM,Light,10/17/2014 6:33:16 PM,10/17/2014 6:33:24 PM,8,-0.08,0.25,
3,14,10/17/2014 6:36:45 PM,Light,10/17/2014 6:35:22 PM,10/17/2014 6:36:34 PM,72,0.03,0.28,
3,15,10/17/2014 6:44:05 PM,Light,10/17/2014 6:43:21 PM,10/17/2014 6:43:55 PM,34,0.07,0.35,
3,16,10/17/2014 6:47:37 PM,Light,10/17/2014 6:46:56 PM,10/17/2014 6:47:26 PM,30,0.03,0.38,
3,17,10/17/2014 6:49:39 PM,Light,10/17/2014 6:49:25 PM,10/17/2014 6:49:28 PM,3,0.05,0.43,
3,18,10/17/2014 6:59:18 PM,Light,10/17/2014 6:57:27 PM,10/17/2014 6:59:07 PM,100,0.18,0.61,
4,19,10/17/2014 7:01:09 PM,Dark,10/17/2014 7:00:15 PM,10/17/2014 7:00:58 PM,43,0.03,0.64,
4,20,10/17/2014 7:06:46 PM,Dark,10/17/2014 7:05:14 PM,10/17/2014 7:06:35 PM,81,-0.05,0.60,
4,21,10/17/2014 7:07:14 PM,Dark,10/17/2014 7:07:00 PM,10/17/2014 7:07:04 PM,4,-0.04,0.55,
4,22,10/17/2014 7:11:03 PM,Dark,10/17/2014 7:10:31 PM,10/17/2014 7:10:52 PM,21,-0.10,0.46,
4,23,10/17/2014 7:13:46 PM,Dark,10/17/2014 7:11:48 PM,10/17/2014 7:13:35 PM,107,0.07,0.53,
4,24,10/17/2014 7:16:50 PM,Dark,10/17/2014 7:16:33 PM,10/17/2014 7:16:38 PM,5,-0.09,0.44,
4,25,10/17/2014 7:20:37 PM,Dark,10/17/2014 7:19:12 PM,10/17/2014 7:20:26 PM,74,0.08,0.52,
4,26,10/17/2014 7:25:41 PM,Dark,10/17/2014 7:22:46 PM,10/17/2014 7:25:30 PM,164,0.05,0.57,
4,27,10/17/2014 7:27:04 PM,Dark,10/17/2014 7:26:50 PM,10/17/2014 7:26:53 PM,3,-0.05,0.52,
5,28,10/17/2014 7:35:51 PM,Dark,10/17/2014 7:35:40 PM,10/17/2014 7:35:41 PM,1,0.11,0.63,
5,29,10/17/2014 7:36:46 PM,Dark,10/17/2014 7:36:11 PM,10/17/2014 7:36:36 PM,25,-0.05,0.58,
5,30,10/17/2014 7:38:30 PM,Dark,10/17/2014 7:38:14 PM,10/17/2014 7:38:19 PM,5,0.03,0.61,
5,31,10/17/2014 7:43:49 PM,Dark,10/17/2014 7:41:59 PM,10/17/2014 7:43:39 PM,100,0.04,0.64,
5,32,10/17/2014 7:46:08 PM,Dark,10/17/2014 7:44:41 PM,10/17/2014 7:45:57 PM,76,0.05,0.70,
5,33,10/17/2014 7:56:29 PM,Dark,10/17/2014 7:54:52 PM,10/17/2014 7:56:18 PM,86,0.03,0.73,
5,34,10/17/2014 7:58:29 PM,Dark,10/17/2014 7:58:08 PM,10/17/2014 7:58:18 PM,10,0.05,0.77,
5,35,10/17/2014 8:02:17 PM,Dark,10/17/2014 7:59:44 PM,10/17/2014 8:02:07 PM,143,0.06,0.83,
5,36,10/17/2014 8:06:49 PM,Dark,10/17/2014 8:05:49 PM,10/17/2014 8:06:38 PM,49,-0.06,0.78,
5,37,10/17/2014 8:08:56 PM,Dark,10/17/2014 8:08:33 PM,10/17/2014 8:08:46 PM,13,-0.03,0.74,
6,38,10/17/2014 8:18:18 PM,Dark,10/17/2014 8:17:53 PM,10/17/2014 8:18:07 PM,14,0.04,0.78,
6,39,10/17/2014 8:20:48 PM,Dark,10/17/2014 8:20:21 PM,10/17/2014 8:20:37 PM,16,-0.05,0.74,
6,40,10/17/2014 8:22:07 PM,Dark,10/17/2014 8:21:47 PM,10/17/2014 8:21:57 PM,10,-0.05,0.69,
6,41,10/17/2014 8:30:47 PM,Dark,10/17/2014 8:24:05 PM,10/17/2014 8:30:37 PM,392,0.15,0.84,
6,42,10/17/2014 8:34:51 PM,Dark,10/17/2014 8:34:24 PM,10/17/2014 8:34:40 PM,16,0.03,0.87,
6,43,10/17/2014 8:35:20 PM,Dark,10/17/2014 8:35:01 PM,10/17/2014 8:35:09 PM,8,0.05,0.92,
6,44,10/17/2014 8:41:16 PM,Dark,10/17/2014 8:40:59 PM,10/17/2014 8:41:05 PM,6,0.05,0.97,
7,45,10/17/2014 8:45:10 PM,Dark,10/17/2014 8:44:43 PM,10/17/2014 8:44:59 PM,16,0.07,1.04,
7,46,10/17/2014 8:45:29 PM,Dark,10/17/2014 8:45:13 PM,10/17/2014 8:45:19 PM,6,0.09,1.13,
7,47,10/17/2014 8:48:44 PM,Dark,10/17/2014 8:47:13 PM,10/17/2014 8:48:33 PM,80,0.04,1.16,
7,48,10/17/2014 8:51:39 PM,Dark,10/17/2014 8:48:46 PM,10/17/2014 8:51:28 PM,162,0.08,1.24,
7,49,10/17/2014 8:53:59 PM,Dark,10/17/2014 8:53:45 PM,10/17/2014 8:53:49 PM,4,-0.03,1.21,
7,50,10/17/2014 8:54:36 PM,Dark,10/17/2014 8:54:23 PM,10/17/2014 8:54:25 PM,2,0.42,1.63,
7,51,10/17/2014 8:59:05 PM,Dark,10/17/2014 8:57:52 PM,10/17/2014 8:58:53 PM,61,-0.04,1.59,
7,52,10/17/2014 9:04:16 PM,Dark,10/17/2014 9:04:03 PM,10/17/2014 9:04:06 PM,3,0.05,1.64,
7,53,10/17/2014 9:06:34 PM,Dark,10/17/2014 9:05:33 PM,10/17/2014 9:06:24 PM,51,0.03,1.67,
7,54,10/17/2014 9:11:54 PM,Dark,10/17/2014 9:08:17 PM,10/17/2014 9:11:43 PM,206,-0.04,1.63,
8,55,10/17/2014 9:21:08 PM,Dark,10/17/2014 9:20:37 PM,10/17/2014 9:20:58 PM,21,0.40,2.03,
8,56,10/17/2014 9:22:58 PM,Dark,10/17/2014 9:21:46 PM,10/17/2014 9:22:47 PM,61,0.05,2.09,
8,57,10/17/2014 9:24:16 PM,Dark,10/17/2014 9:23:59 PM,10/17/2014 9:24:06 PM,7,0.13,2.22,
8,58,10/17/2014 9:24:48 PM,Dark,10/17/2014 9:24:25 PM,10/17/2014 9:24:37 PM,12,-0.08,2.14,
8,59,10/17/2014 9:30:30 PM,Dark,10/17/2014 9:24:51 PM,10/17/2014 9:30:20 PM,329,0.21,2.35,
8,60,10/17/2014 9:33:40 PM,Dark,10/17/2014 9:33:20 PM,10/17/2014 9:33:29 PM,9,0.17,2.52,
