"","animal.MouseID","Fasting_stat","Body Weight","Lean Mass","Total Fat Mass","Lean","Fat","Weight","Percent.Fat","Subject"
"1","1745","After_fasting","24100","22230","1430",22.23,1.43,24.1,5.93360995850622,"1745"
"2","1745","After_HFD","38600","28650","9180",28.65,9.18,38.6,23.7823834196891,"1745"
"3","1745","Pre_fasting","26200","23940","1890",23.94,1.89,26.2,7.21374045801527,"1745"
"4","1746","After_fasting","23900","21660","1520",21.66,1.52,23.9,6.35983263598327,"1746"
"5","1746","After_HFD","34800","24500","9640",24.5,9.64,34.8,27.7011494252874,"1746"
"6","1746","Pre_fasting","25600","22890","2390",22.89,2.39,25.6,9.3359375,"1746"
"7","1747","After_fasting","22900","21260","1400",21.26,1.4,22.9,6.11353711790393,"1747"
"8","1747","After_HFD","34200","27690","5880",27.69,5.88,34.2,17.1929824561403,"1747"
"9","1747","Pre_fasting","24100","22450","1680",22.45,1.68,24.1,6.97095435684647,"1747"
"10","1748","After_fasting","22500","20090","1650",20.09,1.65,22.5,7.33333333333333,"1748"
"11","1748","After_HFD","31800","23880","6770",23.88,6.77,31.8,21.2893081761006,"1748"
"12","1748","Pre_fasting","23500","21000","1900",21,1.9,23.5,8.08510638297872,"1748"
"13","1749","After_fasting","24900","22660","2060",22.66,2.06,24.9,8.27309236947791,"1749"
"14","1749","After_HFD","41500","28210","12290",28.21,12.29,41.5,29.6144578313253,"1749"
"15","1749","Pre_fasting","25600","23160","2050",23.16,2.05,25.6,8.0078125,"1749"
"16","1750","After_fasting","22500","20180","1620",20.18,1.62,22.5,7.2,"1750"
"17","1750","After_HFD","43500","25230","17590",25.23,17.59,43.5,40.4367816091954,"1750"
"18","1750","Pre_fasting","22800","21000","1580",21,1.58,22.8,6.92982456140351,"1750"
"19","1751","After_fasting","21800","19290","2200",19.29,2.2,21.8,10.0917431192661,"1751"
"20","1751","After_HFD","39500","23440","15400",23.44,15.4,39.5,38.9873417721519,"1751"
"21","1751","Pre_fasting","22600","19480","2360",19.48,2.36,22.6,10.4424778761062,"1751"
"22","1752","After_fasting","20100","18340","1200",18.34,1.2,20.1,5.97014925373134,"1752"
"23","1752","After_HFD","39500","24260","14550",24.26,14.55,39.5,36.8354430379747,"1752"
"24","1752","Pre_fasting","21400","19120","1740",19.12,1.74,21.4,8.13084112149533,"1752"
"25","1753","After_fasting","21900","19290","1960",19.29,1.96,21.9,8.94977168949772,"1753"
"26","1753","After_HFD","35800","22540","12470",22.54,12.47,35.8,34.8324022346369,"1753"
"27","1753","Pre_fasting","21700","19170","2070",19.17,2.07,21.7,9.53917050691244,"1753"
"28","1754","After_fasting","22200","20290","1710",20.29,1.71,22.2,7.7027027027027,"1754"
"29","1754","After_HFD","37000","23200","13130",23.2,13.13,37,35.4864864864865,"1754"
"30","1754","Pre_fasting","22700","20600","1750",20.6,1.75,22.7,7.70925110132159,"1754"
"31","1755","After_fasting","23500","21590","1460",21.59,1.46,23.5,6.21276595744681,"1755"
