"","Subject","Light.Dark","Fasting_stat","RER","SumXYAmb","VO2.LBM","Lean","Fat","Percent.Fat","Weight"
"1","2098","Dark","Pre_fasting",0.841852458035714,1964.04464285714,4.83820204373838,21.52,2.09,8.53061224489796,24.5
"3","2098","Light","Pre_fasting",0.808881092857143,735.6875,4.00912812454361,21.52,2.09,8.53061224489796,24.5
"4","2098","Light","After_fasting",0.8978993,5,1.74606236648702,20.41,1.93,8.46491228070176,22.8
"6","2098","Light","After_HFD",NA,NA,NA,24.93,17.7,40.5963302752294,43.6
"7","2099","Dark","Pre_fasting",0.783960827027027,1756.28828828829,5.30542041371292,21.49,1.43,6.13733905579399,23.3
"9","2099","Light","Pre_fasting",0.772218808849558,693.477876106195,4.44928069885012,21.49,1.43,6.13733905579399,23.3
"10","2099","Light","After_fasting",0.8243991,25,3.50901291827542,20.72,1.27,5.61946902654867,22.6
"12","2099","Light","After_HFD",NA,NA,NA,25.57,9.3,26.123595505618,35.6
"13","2101","Dark","Pre_fasting",0.734244416216216,2126.24324324324,7.11105916077512,22.3,1.06,4.39834024896266,24.1
"15","2101","Light","Pre_fasting",0.71685869380531,813.504424778761,5.4367637612736,22.3,1.06,4.39834024896266,24.1
"16","2101","Light","After_fasting",0.3240578,1060,14.7726547384155,22.3,1.62,6.5587044534413,24.7
"18","2101","Light","After_HFD",NA,NA,NA,28.33,8.98,23.4464751958225,38.3
"19","2102","Dark","Pre_fasting",0.854218096428571,2005.19642857143,5.29968441781537,22.8,1.32,5.38775510204082,24.5
"21","2102","Light","Pre_fasting",0.803818010714286,925.107142857143,4.71334565006266,22.8,1.32,5.38775510204082,24.5
"22","2102","Light","After_fasting",0.7595254,1916,4.17155208841216,20.51,0.96,4.30493273542601,22.3
"24","2102","Light","After_HFD",NA,NA,NA,26.58,11.5,29.3367346938775,39.2
"25","2103","Dark","Pre_fasting",0.763321924107143,2222.36607142857,6.75993516797189,20.75,2.46,10.379746835443,23.7
"27","2103","Light","Pre_fasting",0.749113742857143,711.892857142857,5.32754334106426,20.75,2.46,10.379746835443,23.7
"28","2103","Light","After_fasting",0.7845014,5,3.76013732199433,19.99,2.05,9.03083700440529,22.7
"30","2103","Light","After_HFD",NA,NA,NA,25.13,19.41,42.8476821192053,45.3
"31","2104","Dark","Pre_fasting",0.868722430357143,1817.33928571429,5.67494277362637,19.5,2.6,11.353711790393,22.9
"33","2104","Light","Pre_fasting",0.806731597321429,845.776785714286,5.08388901098901,19.5,2.6,11.353711790393,22.9
"34","2104","Light","After_fasting",0.8218157,4,3.34407802417236,19.03,2.32,10.4035874439462,22.3
"36","2104","Light","After_HFD",NA,NA,NA,24.81,15.27,37.0631067961165,41.2
"37","2105","Dark","Pre_fasting",0.832598809821429,2138.5625,5.59521307847625,22.39,1.55,6.2753036437247,24.7
"39","2105","Light","Pre_fasting",0.788946227678571,804.910714285714,4.60400364159967,22.39,1.55,6.2753036437247,24.7
"40","2105","Light","After_fasting",0.7881711,84,3.59744756093979,22.7,1.88,7.43083003952569,25.3
"42","2105","Light","After_HFD",NA,NA,NA,24.84,11.88,31.5119363395225,37.7
"43","2106","Dark","Pre_fasting",0.854971299099099,2009.56756756757,5.18793062230113,21.92,1.27,5.35864978902954,23.7
"45","2106","Light","Pre_fasting",0.789383688495575,860.946902654867,4.4844564201279,21.92,1.27,5.35864978902954,23.7
"46","2106","Light","After_fasting",0.7694368,2471,5.39847729313233,19.9,0.77,3.6150234741784,21.3
