"","Treatment","Animal","Early.Fed","Early.Fasted","Late.Fed","Late.Fasted","Early","Late","Early.pct","Late.pct","Gain","Gain.pct"
"1","Control Diet","C57BL/6J-EarTag #10",25.3,22.86,40.37,38.5,2.44,1.87,9.64426877470356,4.63215258855585,15.07,59.5652173913043
"2","Control Diet","C57BL/6J-EarTag #17",26,22.96,40.01,38,3.04,2.01,11.6923076923077,5.023744063984,14.01,53.8846153846154
"3","Control Diet","C57BL/6J-EarTag #18",26.1,23.16,37.41,36.2,2.94,1.20999999999999,11.264367816092,3.2344292969794,11.31,43.3333333333333
"4","Control Diet","C57BL/6J-EarTag #19",28.8,25.7,41.75,39.7,3.1,2.05,10.7638888888889,4.91017964071856,12.95,44.9652777777778
"5","Control Diet","C57BL/6J-EarTag #20",27.6,24.6,39.65,37.6,3,2.05,10.8695652173913,5.1702395964691,12.05,43.6594202898551
"6","Control Diet","C57BL/6J-EarTag #21",29.8,26.25,37.34,34.6,3.55,2.74,11.9127516778524,7.33797536154259,7.54,25.3020134228188
"7","Control Diet","C57BL/6J-EarTag #26",28.4,25.4,35.34,32.7,3,2.64,10.5633802816901,7.47028862478778,6.94,24.4366197183099
"8","Control Diet","C57BL/6J-EarTag #27",29.5,25.73,39.71,37.3,3.77,2.41,12.7796610169492,6.06900025182575,10.21,34.6101694915254
"9","Control Diet","C57BL/6J-EarTag #28",28.9,25,38,35.7,3.9,2.3,13.4948096885813,6.05263157894736,9.1,31.4878892733564
"10","Control Diet","C57BL/6J-EarTag #29",24.7,21.63,34.52,32.7,3.07,1.82,12.4291497975709,5.27230590961761,9.82,39.7570850202429
"11","Control Diet","C57BL/6J-EarTag #30",25.2,22.61,33.95,32.3,2.59,1.65000000000001,10.2777777777778,4.86008836524302,8.75,34.7222222222222
"12","Control Diet","C57BL/6J-EarTag #44",25.9,22.65,40.02,37.8,3.25,2.22000000000001,12.5482625482625,5.54722638680661,14.12,54.5173745173745
"13","Control Diet","C57BL/6J-EarTag #45",29.3,26,47.58,44.5,3.3,3.08,11.2627986348123,6.47330811265237,18.28,62.3890784982935
"14","Control Diet","C57BL/6J-EarTag #46",24.8,22.29,39.32,37.2,2.51,2.12,10.1209677419355,5.39165818921668,14.52,58.5483870967742
"15","Control Diet","C57BL/6J-EarTag #47",26.1,22.3,32.81,30,3.8,2.81,14.5593869731801,8.56446205425176,6.71,25.7088122605364
