Animal,Cage,Strain,Genotype,Age,Assay,Values,Feeding,Treatment
C57BL/6J-EarTag #188,137773,C57BL/6J,+/+,155,Body Weight,35400,fed,[<Treatment: Control Diet>]
C57BL/6J-EarTag #189,137773,C57BL/6J,+/+,155,Body Weight,38410,fed,[<Treatment: Control Diet>]
C57BL/6J-EarTag #190,137773,C57BL/6J,+/+,155,Body Weight,38260,fed,[<Treatment: Control Diet>]
C57BL/6J-EarTag #1191,137773,C57BL/6J,+/+,155,Body Weight,37880,fed,[<Treatment: Control Diet>]
C57BL/6J-EarTag #192,137768,C57BL/6J,+/+,155,Body Weight,43440,fed,[<Treatment: Control Diet>]
C57BL/6J-EarTag #193,137768,C57BL/6J,+/+,155,Body Weight,42120,fed,[<Treatment: Control Diet>]
C57BL/6J-EarTag #194,137768,C57BL/6J,+/+,155,Body Weight,34100,fed,[<Treatment: Control Diet>]
C57BL/6J-EarTag #196,137768,C57BL/6J,+/+,155,Body Weight,33670,fed,[<Treatment: Control Diet>]
C57BL/6J-EarTag #200,137768,C57BL/6J,+/+,155,Body Weight,38090,fed,[<Treatment: Control Diet>]
C57BL/6J-EarTag #201,137772,C57BL/6J,+/+,155,Body Weight,38830,fed,[<Treatment: Control Diet>]
C57BL/6J-EarTag #202,137772,C57BL/6J,+/+,155,Body Weight,37760,fed,[<Treatment: Control Diet>]
C57BL/6J-EarTag #203,137772,C57BL/6J,+/+,155,Body Weight,37030,fed,[<Treatment: Control Diet>]
C57BL/6J-EarTag #204,137772,C57BL/6J,+/+,155,Body Weight,35940,fed,[<Treatment: Control Diet>]
C57BL/6J-EarTag #205,137772,C57BL/6J,+/+,155,Body Weight,39680,fed,[<Treatment: Control Diet>]
C57BL/6J-EarTag #206,137771,C57BL/6J,+/+,155,Body Weight,39050,fed,[<Treatment: High Fat Diet>]
C57BL/6J-EarTag #207,137771,C57BL/6J,+/+,155,Body Weight,43700,fed,[<Treatment: High Fat Diet>]
C57BL/6J-EarTag #208,137771,C57BL/6J,+/+,155,Body Weight,48950,fed,[<Treatment: High Fat Diet>]
C57BL/6J-EarTag #209,137771,C57BL/6J,+/+,155,Body Weight,41470,fed,[<Treatment: High Fat Diet>]
C57BL/6J-EarTag #212,137769,C57BL/6J,+/+,155,Body Weight,38400,fed,[<Treatment: High Fat Diet>]
C57BL/6J-EarTag #210,137769,C57BL/6J,+/+,155,Body Weight,41620,fed,[<Treatment: High Fat Diet>]
C57BL/6J-EarTag #211,137769,C57BL/6J,+/+,155,Body Weight,43850,fed,[<Treatment: High Fat Diet>]
C57BL/6J-EarTag #215,137769,C57BL/6J,+/+,155,Body Weight,46580,fed,[<Treatment: High Fat Diet>]
C57BL/6J-EarTag #216,137770,C57BL/6J,+/+,155,Body Weight,40060,fed,[<Treatment: High Fat Diet>]
C57BL/6J-EarTag #217,137770,C57BL/6J,+/+,155,Body Weight,46730,fed,[<Treatment: High Fat Diet>]
C57BL/6J-EarTag #218,137770,C57BL/6J,+/+,155,Body Weight,44740,fed,[<Treatment: High Fat Diet>]
C57BL/6J-EarTag #219,137770,C57BL/6J,+/+,155,Body Weight,48520,fed,[<Treatment: High Fat Diet>]
C57BL/6J-EarTag #220,137774,C57BL/6J,+/+,155,Body Weight,42800,fed,[<Treatment: High Fat Diet>]
C57BL/6J-EarTag #221,137774,C57BL/6J,+/+,155,Body Weight,44600,fed,[<Treatment: High Fat Diet>]
C57BL/6J-EarTag #222,137774,C57BL/6J,+/+,155,Body Weight,45600,fed,[<Treatment: High Fat Diet>]
C57BL/6J-EarTag #223,137774,C57BL/6J,+/+,155,Body Weight,43990,fed,[<Treatment: High Fat Diet>]
C57BL/6J-EarTag #224,137776,C57BL/6J,+/+,155,Body Weight,40100,fed,[<Treatment: High Fat Diet>]
C57BL/6J-EarTag #226,137776,C57BL/6J,+/+,155,Body Weight,43010,fed,[<Treatment: High Fat Diet>]
C57BL/6J-EarTag #227,137776,C57BL/6J,+/+,155,Body Weight,44820,fed,[<Treatment: High Fat Diet>]
C57BL/6J-EarTag #228,137776,C57BL/6J,+/+,155,Body Weight,46830,fed,[<Treatment: High Fat Diet>]
C57BL/6J-EarTag #229,139574,C57BL/6J,+/+,155,Body Weight,42820,fed,[<Treatment: High Fat Diet>]
C57BL/6J-EarTag #230,139574,C57BL/6J,+/+,155,Body Weight,49510,fed,[<Treatment: High Fat Diet>]
C57BL/6J-EarTag #232,139574,C57BL/6J,+/+,155,Body Weight,43680,fed,[<Treatment: High Fat Diet>]
C57BL/6J-EarTag #233,139574,C57BL/6J,+/+,155,Body Weight,42770,fed,[<Treatment: High Fat Diet>]
C57BL/6J-EarTag #191,137773,C57BL/6J,+/+,155,Body Weight,35540,fed,[<Treatment: Control Diet>]
