"","age","animal.Alive","animal.Background","animal.Cause_of_Death","animal.Death","animal.Gender","animal.Genotype","animal.MouseID","animal.age","animal.id","animal.strain.Strain","assay.assay","experiment.date","experiment.feeding_state","id","values","experiment.time"
"1",65,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2128,198,7222,"C57BL/6J","Body Weight","2014-11-26","fed",19316,"25200",NA
"2",65,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2128,198,7222,"C57BL/6J","Total Fat Mass","2014-11-26","fed",19317,"2060",NA
"3",65,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2128,198,7222,"C57BL/6J","Lean Mass","2014-11-26","fed",19318,"22340",NA
"4",70,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2128,198,7222,"C57BL/6J","Body Weight","2014-12-01","fed",19501,"23200",NA
"5",70,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2128,198,7222,"C57BL/6J","Total Fat Mass","2014-12-01","fed",19502,"1250",NA
"6",70,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2128,198,7222,"C57BL/6J","Lean Mass","2014-12-01","fed",19503,"21620",NA
"7",71,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2128,198,7222,"C57BL/6J","Body Weight","2014-12-02","fasted",19581,"22800",NA
"8",71,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2128,198,7222,"C57BL/6J","Total Fat Mass","2014-12-02","fasted",19600,"1090",NA
"9",71,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2128,198,7222,"C57BL/6J","Lean Mass","2014-12-02","fasted",19619,"21240",NA
"10",85,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2128,198,7222,"C57BL/6J","Body Weight","2014-12-16","fed",20930,"27300",NA
"11",85,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2128,198,7222,"C57BL/6J","Total Fat Mass","2014-12-16","fed",20931,"2650",NA
"12",85,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2128,198,7222,"C57BL/6J","Lean Mass","2014-12-16","fed",20932,"23820",NA
"13",99,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2128,198,7222,"C57BL/6J","Body Weight","2014-12-30","fed",21333,"30000",NA
"14",99,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2128,198,7222,"C57BL/6J","Total Fat Mass","2014-12-30","fed",21334,"3940",NA
"15",99,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2128,198,7222,"C57BL/6J","Lean Mass","2014-12-30","fed",21335,"25660",NA
"16",113,FALSE,"C57BL/6J","Sacrificed","2015-04-08","M","+/+",2128,198,7222,"C57BL/6J","Body Weight","2015-01-13","fed",22895,"31600",NA
