"","Animal","Genotype","Gender","Assay","Value","Strain","Background","Age","Cage","Feeding","Treatment"
"2914","ob/ob-EarTag #270","+/+","M","Body Weight",34710,"ob/ob","BTBR",122,2099968,"fasted","[]"
"2915","ob/ob-EarTag #271","-/-","M","Body Weight",60320,"ob/ob","BTBR",122,2099981,"fasted","[]"
"2916","ob/ob-EarTag #272","+/+","M","Body Weight",29830,"ob/ob","BTBR",122,2099968,"fasted","[]"
"2917","ob/ob-EarTag #273","-/-","M","Body Weight",59850,"ob/ob","BTBR",122,2099968,"fasted","[]"
"2918","ob/ob-EarTag #274","-/-","M","Body Weight",60400,"ob/ob","BTBR",122,2099981,"fasted","[]"
"2919","ob/ob-EarTag #280","+/+","M","Body Weight",29480,"ob/ob","BTBR",122,2099981,"fasted","[]"
"2930","ob/ob-EarTag #178","-/-","M","Body Weight",65440,"ob/ob","BTBR",124,2061570,"fasted","[]"
"2931","ob/ob-EarTag #179","+/+","M","Body Weight",31370,"ob/ob","BTBR",124,2061570,"fasted","[]"
"2932","ob/ob-EarTag #180","+/+","M","Body Weight",33700,"ob/ob","BTBR",124,2061570,"fasted","[]"
"2933","ob/ob-EarTag #172","+/+","M","Body Weight",33070,"ob/ob","BTBR",123,2061570,"fasted","[]"
"4077","ob/ob-EarTag #122","-/-","M","Body Weight",39320,"ob/ob","C57BL/6J",70,137863,"fasted","[]"
"4080","ob/ob-EarTag #120","-/-","M","Body Weight",40570,"ob/ob","C57BL/6J",70,137668,"fasted","[]"
"4081","ob/ob (5380)","-/-","M","Body Weight",39630,"ob/ob","C57BL/6J",72,137668,"fasted","[]"
"4084","ob/ob-EarTag #119","-/-","M","Body Weight",39470,"ob/ob","C57BL/6J",70,136684,"fasted","[]"
"4085","ob/ob-EarTag #86","+/+","M","Body Weight",21910,"ob/ob","C57BL/6J",72,136684,"fasted","[]"
"4088","ob/ob-EarTag #117","+/+","M","Body Weight",21980,"ob/ob","C57BL/6J",72,137668,"fasted","[]"
"4863","ob/ob-EarTag #180","N.D.","F","Body Weight",22100,"ob/ob","C57BL/6J",123,139573,"fasted","[]"
"4866","ob/ob-EarTag #169","N.D.","F","Body Weight",22420,"ob/ob","C57BL/6J",123,139573,"fasted","[]"
"4867","ob/ob-EarTag #170","+/+","F","Body Weight",21450,"ob/ob","C57BL/6J",123,139573,"fasted","[]"
"4870","ob/ob-EarTag #176","-/-","F","Body Weight",52600,"ob/ob","C57BL/6J",123,137683,"fasted","[]"
"5229","ob/ob-EarTag #290","-/+","F","Body Weight",20480,"ob/ob","C57BL/6J",107,140477,"fasted","[]"
"5230","ob/ob-EarTag #291","-/+","F","Body Weight",18660,"ob/ob","C57BL/6J",107,140477,"fasted","[]"
"5231","ob/ob-EarTag #2900","-/+","F","Body Weight",20050,"ob/ob","C57BL/6J",107,140477,"fasted","[]"
"5232","ob/ob-EarTag #292","-/-","F","Body Weight",55400,"ob/ob","C57BL/6J",107,140477,"fasted","[]"
"5233","ob/ob-EarTag #278","+/+","M","Body Weight",28860,"ob/ob","C57BL/6J",121,140506,"fasted","[]"
"5234","ob/ob-EarTag #281","-/+","M","Body Weight",26330,"ob/ob","C57BL/6J",121,NA,"fasted","[]"
