,Diet,Cage,variable,Food.per.Mouse,Food.Per.Week,Week
1,High Fat Diet,6415,Week.0.2,43.292,3.092285714,2
2,High Fat Diet,6416,Week.0.2,45.568,3.254857143,2
3,Control Diet,6413,Week.0.2,39.502,2.821571429,2
4,Control Diet,6414,Week.0.2,47.22,3.372857143,2
5,High Fat Diet,6415,Week.2.4,43.648,3.117714286,4
6,High Fat Diet,6416,Week.2.4,51.07,3.647857143,4
7,Control Diet,6413,Week.2.4,42.326,3.023285714,4
8,Control Diet,6414,Week.2.4,51.628,3.687714286,4
9,High Fat Diet,6415,Week.4.6,46.082,3.291571429,6
10,High Fat Diet,6416,Week.4.6,50.312,3.593714286,6
11,Control Diet,6413,Week.4.6,45.314,3.236714286,6
12,Control Diet,6414,Week.4.6,47.494,3.392428571,6
13,High Fat Diet,6415,Week.6.8,42.998,3.071285714,8
14,High Fat Diet,6416,Week.6.8,49.266,3.519,8
15,Control Diet,6413,Week.6.8,45.582,3.255857143,8
16,Control Diet,6414,Week.6.8,47.892,3.420857143,8
17,High Fat Diet,6415,Week.10.12,42.86,3.061428571,12
18,High Fat Diet,6416,Week.10.12,49.634,3.545285714,12
19,Control Diet,6413,Week.10.12,49.428,3.530571429,12
20,Control Diet,6414,Week.10.12,52.094,3.721,12
21,High Fat Diet,2061503,Week.0.2,46.395,3.313928571,2
22,Normal Chow Diet,2061504,Week.0.2,55.842,3.988714286,2
23,High Fat Diet,2061505,Week.0.2,40.9175,2.922678571,2
24,High Fat Diet,2061506,Week.0.2,41.06,2.932857143,2
25,High Fat Diet,2061507,Week.0.2,73.97,5.283571429,2
26,Normal Chow Diet,2061508,Week.0.2,48.766,3.483285714,2
27,Normal Chow Diet,2061509,Week.0.2,54.822,3.915857143,2
28,High Fat Diet,2061510,Week.0.2,45.125,3.223214286,2
29,High Fat Diet,2061503,Week.2.4,43.94,3.138571429,4
30,Normal Chow Diet,2061504,Week.2.4,62.87,4.490714286,4
31,High Fat Diet,2061505,Week.2.4,40.405,2.886071429,4
32,High Fat Diet,2061506,Week.2.4,34.9,2.492857143,4
33,High Fat Diet,2061507,Week.2.4,53.8825,3.84875,4
34,Normal Chow Diet,2061508,Week.2.4,55.528,3.966285714,4
35,Normal Chow Diet,2061509,Week.2.4,62.246,4.446142857,4
36,High Fat Diet,2061510,Week.2.4,47.1275,3.36625,4
37,High Fat Diet,2061503,Week.4.6,42.28,3.02,6
38,Normal Chow Diet,2061504,Week.4.6,62.94,4.495714286,6
39,High Fat Diet,2061505,Week.4.6,42.54,3.038571429,6
40,High Fat Diet,2061506,Week.4.6,36.22,2.587142857,6
41,High Fat Diet,2061507,Week.4.6,41.38,2.955714286,6
42,Normal Chow Diet,2061508,Week.4.6,56.64,4.045714286,6
43,Normal Chow Diet,2061509,Week.4.6,59.42,4.244285714,6
44,High Fat Diet,2061510,Week.4.6,46.39,3.313571429,6
45,High Fat Diet,2061503,Week.6.8,41.91,2.993571429,8
46,Normal Chow Diet,2061504,Week.6.8,66.1,4.721428571,8
47,High Fat Diet,2061505,Week.6.8,40.65,2.903571429,8
48,High Fat Diet,2061506,Week.6.8,35.93,2.566428571,8
49,High Fat Diet,2061507,Week.6.8,40.84,2.917142857,8
50,Normal Chow Diet,2061508,Week.6.8,51.78,3.698571429,8
51,Normal Chow Diet,2061509,Week.6.8,61.81,4.415,8
52,High Fat Diet,2061510,Week.6.8,44.9,3.207142857,8
53,High Fat Diet,2061503,Week.10.12,43.08,3.077142857,12
54,Normal Chow Diet,2061504,Week.10.12,58.92,4.208571429,12
55,High Fat Diet,2061505,Week.10.12,39.88,2.848571429,12
56,High Fat Diet,2061506,Week.10.12,34.71,2.479285714,12
57,High Fat Diet,2061507,Week.10.12,42.92,3.065714286,12
58,Normal Chow Diet,2061508,Week.10.12,53.15,3.796428571,12
59,Normal Chow Diet,2061509,Week.10.12,60.33,4.309285714,12
60,High Fat Diet,2061510,Week.10.12,44.77,3.197857143,12
61,High Fat Diet,2099923,Week.0.2,40.54,2.895714286,2
62,Normal Chow Diet,2099924,Week.0.2,63.6,4.542857143,2
63,High Fat Diet,2099925,Week.0.2,43.19,3.085,2
64,Normal Chow Diet,2099926,Week.0.2,54.05,3.860714286,2
65,High Fat Diet,2099927,Week.0.2,51.74,3.695714286,2
66,High Fat Diet,2099923,Week.2.4,40.34,2.881428571,4
67,Normal Chow Diet,2099924,Week.2.4,71.88,5.134285714,4
68,High Fat Diet,2099925,Week.2.4,40.31,2.879285714,4
69,Normal Chow Diet,2099926,Week.2.4,54.23,3.873571429,4
70,High Fat Diet,2099927,Week.2.4,39.85,2.846428571,4
71,High Fat Diet,2099923,Week.4.6,42.96,3.068571429,6
72,Normal Chow Diet,2099924,Week.4.6,53.5,3.821428571,6
73,High Fat Diet,2099925,Week.4.6,42.33,3.023571429,6
74,Normal Chow Diet,2099926,Week.4.6,56.42,4.03,6
75,High Fat Diet,2099927,Week.4.6,42.29,3.020714286,6
76,High Fat Diet,2099923,Week.6.8,42.21,3.015,8
77,Normal Chow Diet,2099924,Week.6.8,62.42,4.458571429,8
78,High Fat Diet,2099925,Week.6.8,43.36,3.097142857,8
79,Normal Chow Diet,2099926,Week.6.8,54.69,3.906428571,8
80,High Fat Diet,2099927,Week.6.8,39.55,2.825,8
81,High Fat Diet,2099923,Week.10.12,55.72,3.98,12
82,Normal Chow Diet,2099924,Week.10.12,58.17,4.155,12
83,High Fat Diet,2099925,Week.10.12,43.18,3.084285714,12
84,Normal Chow Diet,2099926,Week.10.12,55.35,3.953571429,12
85,High Fat Diet,2099927,Week.10.12,39.66,2.832857143,12
86,High Fat Diet,133637,Week.0.2,42.26,3.018571429,2
87,High Fat Diet,133638,Week.0.2,39.45,2.817857143,2
88,High Fat Diet,133635,Week.0.2,43.5,3.107142857,2
89,High Fat Diet,133636,Week.0.2,43.81,3.129285714,2
90,High Fat Diet,133644,Week.0.2,47.52,3.394285714,2
91,High Fat Diet,133641,Week.0.2,46.6,3.328571429,2
92,Control Diet,133639,Week.0.2,43.18,3.084285714,2
93,Control Diet,133640,Week.0.2,60.32,4.308571429,2
94,Control Diet,133642,Week.0.2,59.91,4.279285714,2
95,Control Diet,133643,Week.0.2,56.11,4.007857143,2
96,High Fat Diet,133637,Week.2.4,42.42,3.03,4
97,High Fat Diet,133638,Week.2.4,43.1,3.078571429,4
98,High Fat Diet,133635,Week.2.4,48.62,3.472857143,4
99,High Fat Diet,133636,Week.2.4,42.11,3.007857143,4
100,High Fat Diet,133644,Week.2.4,50.31,3.593571429,4
101,High Fat Diet,133641,Week.2.4,49.22,3.515714286,4
102,Control Diet,133639,Week.2.4,50.71,3.622142857,4
103,Control Diet,133640,Week.2.4,69.67,4.976428571,4
104,Control Diet,133642,Week.2.4,42.33,3.023571429,4
105,Control Diet,133643,Week.2.4,65.66,4.69,4
106,High Fat Diet,133637,Week.4.6,40.58,2.898571429,6
107,High Fat Diet,133638,Week.4.6,40.72,2.908571429,6
108,High Fat Diet,133635,Week.4.6,44.17,3.155,6
109,High Fat Diet,133636,Week.4.6,41.48,2.962857143,6
110,High Fat Diet,133644,Week.4.6,35.77,2.555,6
111,High Fat Diet,133641,Week.4.6,55.44,3.96,6
112,Control Diet,133639,Week.4.6,44.14,3.152857143,6
113,Control Diet,133640,Week.4.6,66.32,4.737142857,6
114,Control Diet,133642,Week.4.6,42.33,3.023571429,6
115,Control Diet,133643,Week.4.6,54.47,3.890714286,6
116,High Fat Diet,133637,Week.6.8,40.01,2.857857143,8
117,High Fat Diet,133638,Week.6.8,42.86,3.061428571,8
118,High Fat Diet,133635,Week.6.8,46.96,3.354285714,8
119,High Fat Diet,133636,Week.6.8,40.56,2.897142857,8
120,High Fat Diet,133644,Week.6.8,35.14,2.51,8
121,High Fat Diet,133641,Week.6.8,50.74,3.624285714,8
122,Control Diet,133639,Week.6.8,47.64,3.402857143,8
123,Control Diet,133640,Week.6.8,53.41,3.815,8
124,Control Diet,133642,Week.6.8,45.42,3.244285714,8
125,Control Diet,133643,Week.6.8,53.48,3.82,8
126,High Fat Diet,133637,Week.8.10,37.1,2.65,10
127,High Fat Diet,133638,Week.8.10,36.15,2.582142857,10
128,High Fat Diet,133635,Week.8.10,40.36,2.882857143,10
129,High Fat Diet,133636,Week.8.10,38.7,2.764285714,10
130,High Fat Diet,133644,Week.8.10,30.26,2.161428571,10
131,High Fat Diet,133641,Week.8.10,46.11,3.293571429,10
132,Control Diet,133639,Week.8.10,41.07,2.933571429,10
133,Control Diet,133640,Week.8.10,45.78,3.27,10
134,Control Diet,133642,Week.8.10,43.91,3.136428571,10
135,Control Diet,133643,Week.8.10,47.97,3.426428571,10
136,High Fat Diet,133637,Week.10.12,39.01,2.786428571,12
137,High Fat Diet,133638,Week.10.12,39.13,2.795,12
138,High Fat Diet,133635,Week.10.12,41.68,2.977142857,12
139,High Fat Diet,133636,Week.10.12,41.22,2.944285714,12
140,High Fat Diet,133644,Week.10.12,31.25,2.232142857,12
141,High Fat Diet,133641,Week.10.12,47.9,3.421428571,12
142,Control Diet,133639,Week.10.12,45.84,3.274285714,12
143,Control Diet,133640,Week.10.12,52.02,3.715714286,12
144,Control Diet,133642,Week.10.12,46.31,3.307857143,12
145,Control Diet,133643,Week.10.12,55.05,3.932142857,12
146,High Fat Diet,HFD1,Week.0.2,40.74,2.91,2
147,High Fat Diet,HFD2,Week.0.2,45.01,3.215,2
